STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120815 22:00,0.06, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120815 23:00,0.07, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120816 00:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120816 07:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120817 22:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 00:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 02:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 05:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 06:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 07:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 08:00,0.04, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 09:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 10:00,0.03, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 11:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 12:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 13:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 14:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 15:00,0.06, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 16:00,0.03, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 17:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 18:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120818 19:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120819 02:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120821 07:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120821 08:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120828 01:00,0.10, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120828 02:00,0.21, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120828 04:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120828 05:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120828 06:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120828 07:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120828 08:00,0.29, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120828 09:00,0.40, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120828 10:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120901 01:00,0.00,g, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120904 03:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120904 04:00,0.03, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120904 05:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120904 06:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120904 07:00,0.04, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120904 08:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120904 10:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120904 11:00,0.10, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120904 12:00,0.03, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120904 13:00,0.07, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120904 14:00,0.07, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120904 15:00,0.03, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120904 16:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120904 17:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120904 18:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120904 19:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120905 04:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120905 05:00,0.08, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120905 06:00,0.03, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120905 07:00,0.08, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120905 08:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120905 10:00,0.07, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120905 11:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120905 12:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120908 16:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120908 17:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120908 18:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120908 19:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120908 20:00,0.24, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120908 21:00,0.14, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120909 02:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120915 08:00,0.07, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120918 10:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120918 14:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120918 15:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120918 16:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120918 17:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120918 20:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120918 21:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120918 22:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120918 23:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120919 00:00,0.12, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120919 01:00,0.60, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120919 02:00,0.15, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120919 03:00,0.04, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120919 04:00,0.10, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120919 05:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120919 06:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120922 00:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120922 01:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120922 02:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120922 03:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120922 07:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120922 08:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120923 01:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120923 02:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120923 03:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120926 06:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120926 07:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120926 13:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120926 15:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120926 21:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120926 22:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120928 04:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120928 05:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120928 06:00,0.03, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120928 07:00,0.03, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120928 08:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120928 09:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120928 10:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120928 11:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120928 12:00,0.03, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120928 13:00,0.04, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120928 14:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120928 15:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120928 16:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120928 17:00,0.09, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120928 18:00,0.03, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120928 19:00,0.03, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120928 20:00,0.04, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120928 21:00,0.10, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120928 22:00,0.09, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120928 23:00,0.03, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120929 00:00,0.03, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120929 01:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120929 02:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120929 03:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120929 04:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120929 05:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120929 06:00,0.07, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120929 07:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120929 08:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120929 09:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120929 10:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120929 11:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120929 12:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120930 06:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120930 07:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120930 08:00,0.03, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120930 09:00,0.07, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120930 10:00,0.09, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120930 11:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120930 12:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120930 13:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20120930 14:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121001 01:00,0.00,g, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121001 21:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121001 22:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121002 13:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121002 14:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121002 15:00,0.04, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121002 16:00,0.03, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121002 17:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121002 18:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121002 19:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121002 20:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121003 02:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121003 06:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121003 07:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121003 08:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121003 09:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121003 10:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121003 11:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121003 12:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121003 13:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121003 14:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121003 15:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121003 16:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121003 17:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121003 20:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121003 21:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121003 22:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121003 23:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121004 00:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121004 01:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121004 05:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121004 06:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121004 07:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121004 08:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121004 09:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121004 10:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121004 11:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121004 12:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121004 13:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121004 14:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121004 15:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121004 19:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121004 20:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121004 21:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121004 22:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121006 18:00,0.18, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121006 19:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121007 14:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121007 15:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121007 16:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121007 17:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121007 21:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121007 22:00,0.04, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121007 23:00,0.04, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121008 00:00,0.03, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121009 05:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121009 09:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121009 12:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121009 13:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121009 14:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121009 15:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121010 02:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121010 03:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121010 04:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121010 05:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121010 06:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121010 07:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121010 08:00,0.03, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20121010 09:00,0.00,T, 
