zipcode,Year,flood_count,max_severity,median_dead,median_displaced,median_duration,median_area,zipcode_3area,flood_count_total_10,max_severity_avg_10,median_dead_avg_10,median_displaced_avg_10,median_duration_avg_10,median_area_avg_10,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
30075,2018,1,1.5,3.0,23000.0,4.0,221576.46,300,1.0,1.5,3.0,23000.0,4.0,221576.46,6.04,543.28,249.14,175.84
30103,2009,1,1.5,8.0,220.0,7.0,225395.01,301,1.0,1.5,8.0,220.0,7.0,225395.01,-8.82,185.46,,125.23
30116,2021,1,1.5,15.0,0.0,2.0,545514.29,301,2.0,1.5,11.5,110.0,4.5,385454.65,17.32,286.93,242.05,176.11
30439,1998,1,1.0,0.0,80.0,2.0,39686.6,304,1.0,1.0,0.0,80.0,2.0,39686.6,10.31,124.7,,96.38
32351,1998,1,1.0,3.0,65.0,0.0,29738.8,323,3.0,1.3333333333333333,3.0,65.0,0.0,29738.8,,100.0,,94.01
32446,2009,1,1.5,0.0,0.0,1.0,82061.7,324,1.0,1.5,0.0,0.0,1.0,82061.7,-4.85,201.26,,159.47
32466,2012,1,1.5,1.0,300.0,3.0,20116.97,324,2.0,1.5,0.5,150.0,2.0,51089.335,6.02,162.32,,129.75
32570,1998,1,1.0,4.0,0.0,1.0,214764.31,325,1.0,1.0,4.0,0.0,1.0,214764.31,3.07,136.02,,94.29
32693,2008,1,2.0,12.0,400.0,8.0,98478.89,326,1.0,2.0,12.0,400.0,8.0,98478.89,-3.47,179.46,,
32744,2009,1,1.5,21.0,0.0,6.0,13738.76,327,1.0,1.5,21.0,0.0,6.0,13738.76,-21.57,241.45,,190.08
33076,1991,1,1.0,0.0,0.0,5.0,10405.21,330,1.0,1.0,0.0,0.0,5.0,10405.21,-0.77,91.68,99.23,89.74
33332,1989,1,1.0,7.0,4000.0,1.0,25065.05,333,1.0,1.0,7.0,4000.0,1.0,25065.05,9.64,238.36,92.82,65.91
33440,1995,1,1.0,0.0,600.0,15.0,34849.1,334,1.0,1.0,0.0,600.0,15.0,34849.1,3.9,114.82,96.09,79.43
33572,1988,1,2.0,7.0,1000.0,3.0,6517.48,335,1.0,2.0,7.0,1000.0,3.0,6517.48,9.63,215.68,94.98,68.39
33825,2004,1,1.0,16.0,300.0,9.0,308986.37,338,1.0,1.0,16.0,300.0,9.0,308986.37,19.08,179.59,,146.95
34266,2003,1,1.0,0.0,250.0,6.0,18773.56,342,1.0,1.0,0.0,250.0,6.0,18773.56,11.15,154.34,,130.76
34433,2012,1,2.0,3.0,17000.0,10.0,67994.98,344,1.0,2.0,3.0,17000.0,10.0,67994.98,-6.86,125.7,,115.73
34602,1998,1,2.0,0.0,560.0,4.0,19146.28,346,2.0,1.5,2.0,500280.0,5.0,46557.445,6.65,112.6,,91.5
34756,2017,1,2.0,84.0,3000.0,11.0,219532.85,347,1.0,2.0,84.0,3000.0,11.0,219532.85,6.55,242.64,,182.47
34956,2014,1,1.0,0.0,0.0,1.0,8447.1,349,1.0,1.0,0.0,0.0,1.0,8447.1,43.72,137.0,,
35475,2021,1,1.0,1.0,0.0,2.0,5985.94,354,1.0,1.0,1.0,0.0,2.0,5985.94,9.9,264.43,,171.05
36022,1998,1,2.0,11.0,18000.0,6.0,185209.85,360,1.0,2.0,11.0,18000.0,6.0,185209.85,4.73,126.83,,97.33
36066,2009,1,1.0,0.0,0.0,3.0,314990.21,360,2.0,1.5,5.5,9000.0,4.5,250100.03000000003,-0.86,174.23,175.73,132.34
36051,2020,1,2.0,0.0,0.0,3.0,193717.87,360,3.0,1.6666666666666667,0.0,0.0,3.0,193717.87,7.29,128.93,,
36067,2021,1,1.5,4.0,0.0,3.0,35416.48,360,4.0,1.625,2.0,0.0,3.0,189463.86,8.47,197.28,,149.22
37029,2010,1,1.0,30.0,8000.0,3.0,79123.97,370,1.0,1.0,30.0,8000.0,3.0,79123.97,-5.07,182.49,,115.33
37034,2019,1,1.5,2.0,0.0,3.0,138726.87,370,2.0,1.25,16.0,4000.0,3.0,108925.42,7.13,271.64,,211.11
37046,2021,1,2.0,22.0,0.0,2.0,31230.27,370,3.0,1.5,22.0,0.0,3.0,79123.97,10.22,393.08,,249.67
37110,2002,1,1.0,6.0,0.0,6.0,87111.92,371,1.0,1.0,6.0,0.0,6.0,87111.92,1.37,140.16,,104.96
37397,2003,1,2.0,3.0,2000.0,8.0,313672.72,373,1.0,2.0,3.0,2000.0,8.0,313672.72,-2.1,122.33,,111.29
38134,2001,1,1.0,1.0,400.0,9.0,132283.24,381,1.0,1.0,1.0,400.0,9.0,132283.24,4.17,275.38,136.2,104.17
38668,2002,1,1.0,3.0,0.0,2.0,11708.02,386,1.0,1.0,3.0,0.0,2.0,11708.02,2.83,152.83,,107.96
38651,2007,1,1.0,24.0,0.0,19.0,434387.22,386,2.0,1.0,13.5,0.0,10.5,223047.62,2.43,197.13,197.13,132.67
39301,2003,1,2.0,0.0,100.0,3.0,83502.65,393,1.0,2.0,0.0,100.0,3.0,83502.65,-0.83,139.71,,106.62
39571,2012,1,1.5,1.0,60000.0,10.0,83938.23,395,1.0,1.5,1.0,60000.0,10.0,83938.23,-3.88,215.11,237.04,129.56
39845,2002,1,1.0,0.0,0.0,3.0,5643.54,398,3.0,1.0,15.0,6000.0,8.0,162225.07,-1.99,98.01,,
