zipcode,Year,flood_count,max_severity,median_dead,median_displaced,median_duration,median_area,zipcode_3area,flood_count_total_10,max_severity_avg_10,median_dead_avg_10,median_displaced_avg_10,median_duration_avg_10,median_area_avg_10,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
93204,2018,1,1.5,0.0,0.0,5.0,72393.23,932,2.0,1.75,6.5,1750.0,11.5,67831.975,0.76,175.54,,
93313,2017,1,1.0,0.0,0.0,1.0,74443.11,933,1.0,1.0,0.0,0.0,1.0,74443.11,3.2,296.88,204.97,186.52
94574,2016,1,1.5,1.0,36.0,5.0,74128.03,945,1.0,1.5,1.0,36.0,5.0,74128.03,7.64,1222.65,383.21,206.74
95203,2004,1,1.0,0.0,300.0,130.0,607.755,952,1.0,1.0,0.0,300.0,130.0,607.755,19.54,667.67,217.39,188.06
95215,2018,1,1.5,0.0,30000.0,3.0,51513.38,952,2.0,1.25,0.0,15150.0,66.5,26060.567499999997,13.53,733.52,283.39,225.87
95316,1997,1,2.0,20.0,100000.0,31.0,156686.54,953,1.0,2.0,20.0,100000.0,31.0,156686.54,-3.36,149.45,94.84,80.69
95340,1998,1,1.0,0.0,0.0,1.0,4080.72,953,2.0,1.5,10.0,50000.0,16.0,80383.63,3.79,337.04,103.79,89.98
95386,2006,1,1.0,1.0,600.0,13.0,44107.11,953,3.0,1.3333333333333333,1.0,600.0,13.0,44107.11,13.85,508.46,289.59,265.4
95457,2002,1,1.0,6.0,0.0,10.0,44627.03,954,1.0,1.0,6.0,0.0,10.0,44627.03,4.88,164.31,,110.99
95451,2019,1,1.5,1.0,8000.0,7.0,21540.28,954,3.0,1.1666666666666667,3.0,0.0,7.0,44627.03,2.21,422.61,259.92,201.62
95633,2010,1,1.5,0.0,1000.0,9.0,355567.84,956,1.0,1.5,0.0,1000.0,9.0,355567.84,-6.73,153.79,153.79,124.03
95633,2017,1,1.5,5.0,14000.0,15.0,126994.99,956,2.0,1.5,2.5,7500.0,12.0,241281.415,6.33,214.42,214.42,172.92
96744,1988,1,1.0,0.0,2800.0,1.0,385.696,967,1.0,1.0,0.0,2800.0,1.0,385.696,17.33,280.54,63.92,61.25
96717,1991,1,1.0,0.0,200.0,6.0,875.511,967,2.0,1.0,0.0,1500.0,3.5,630.6034999999999,,100.0,,109.08
96741,1991,1,1.0,3.0,200.0,2.0,1319.59,967,3.0,1.0,0.0,200.0,2.0,875.511,,100.0,,105.71
96741,1992,1,1.0,3.0,25000.0,2.0,2901.55,967,4.0,1.0,1.5,1500.0,2.0,1097.5504999999998,-2.15,97.85,,103.44
96786,2006,1,1.0,0.0,0.0,13.0,3020.97,967,7.0,1.0,0.0,200.0,2.0,875.511,21.66,376.66,213.07,217.61
96741,2012,1,1.5,0.0,83.0,3.0,2046.16,967,9.0,1.0555555555555556,0.0,100.0,3.0,1319.59,1.26,155.73,,164.62
97112,1999,1,2.0,0.0,100.0,2.0,18279.39,971,1.0,2.0,0.0,100.0,2.0,18279.39,3.47,103.47,,96.63
97304,1990,1,2.0,4.0,3000.0,2.0,86746.69,973,1.0,2.0,4.0,3000.0,2.0,86746.69,9.66,168.29,100.0,56.43
97344,2021,1,1.0,0.0,0.0,2.0,68968.0,973,3.0,1.3333333333333333,0.0,0.0,2.0,68968.0,1.51,270.35,,262.08
98053,1986,1,2.0,0.0,2000.0,3.0,26882.0,980,1.0,2.0,0.0,2000.0,3.0,26882.0,4.18,133.59,60.92,37.23
98012,2006,1,1.0,2.0,1500.0,5.0,57886.05,980,2.0,1.5,1.0,1750.0,4.0,42384.025,17.66,809.42,236.4,163.12
98252,1990,1,1.0,0.0,500.0,5.0,23287.94,982,1.0,1.0,0.0,500.0,5.0,23287.94,26.63,158.63,100.0,64.47
98387,1997,1,1.0,4.0,600.0,4.0,65906.03,983,2.0,1.0,7.0,325.0,6.0,169295.28999999998,3.11,187.35,142.86,89.75
98506,2007,1,1.0,2.0,1100.0,4.0,41684.03,985,2.0,1.5,2.0,8050.0,8.0,76696.98999999999,4.41,653.48,320.03,188.83
98503,2008,1,1.5,2.0,0.0,6.0,75156.68,985,3.0,1.5,2.0,1100.0,6.0,75156.68,-1.42,578.9,289.04,181.96
98501,2009,1,1.5,9.0,0.0,1.0,47811.61,985,4.0,1.5,2.0,550.0,5.0,61484.145,-5.55,577.53,281.05,170.92
99669,2002,1,2.0,0.0,0.0,4.0,13912.96,996,2.0,2.0,0.0,150.0,16.0,32151.255,1.72,116.2,,107.77
99705,1991,1,1.0,2.0,800.0,4.0,22130.06,997,1.0,1.0,2.0,800.0,4.0,22130.06,20.76,72.44,120.76,69.72
99705,2003,1,1.0,0.0,0.0,4.0,1681.67,997,3.0,1.0,0.0,0.0,4.0,1681.67,4.43,113.15,188.63,108.9
99709,2003,1,1.0,0.0,0.0,5.0,6718.98,997,4.0,1.0,0.0,0.0,4.0,4200.325,2.88,246.91,162.72,110.3
99824,2014,1,1.0,0.0,0.0,3.0,2950.82,998,1.0,1.0,0.0,0.0,3.0,2950.82,6.54,176.14,,156.0
