Five-Digit ZIP Code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
01253,2001,,100.0,,
01253,2002,9.38,109.38,,
01253,2003,2.17,111.75,,
01253,2004,21.8,136.12,,
01253,2005,8.09,147.13,,
01253,2006,12.92,166.14,,
01253,2007,-2.73,161.6,,
01253,2008,-1.61,159.0,,
01253,2009,-2.66,154.77,,
01253,2010,0.33,155.28,,
01253,2011,-7.47,143.67,,
01253,2012,-1.76,141.15,,
01253,2013,0.46,141.8,,
01253,2014,-7.54,131.1,,
01253,2015,13.62,148.96,,
01253,2016,-3.79,143.32,,
01253,2017,1.06,144.83,,
01253,2018,3.73,150.23,,
01253,2019,4.58,157.11,,
01253,2020,1.53,159.51,,
01253,2021,11.49,177.84,,
01253,2022,14.43,203.51,,
01253,2023,14.86,233.75,,
01253,2024,16.07,271.32,,
01749,1983,,100.0,49.15,35.07
01749,1984,33.49,133.49,65.62,46.82
01749,1985,21.18,161.76,79.51,56.73
01749,1986,17.6,190.23,93.51,66.72
01749,1987,8.36,206.14,101.33,72.29
01749,1988,6.38,219.3,107.79,76.91
01749,1989,0.24,219.82,108.05,77.09
01749,1990,-7.45,203.44,100.0,71.35
01749,1991,-6.53,190.15,93.47,66.69
01749,1992,-1.72,186.88,91.86,65.54
01749,1993,-1.17,184.68,90.78,64.77
01749,1994,1.23,186.96,91.9,65.57
01749,1995,0.9,188.63,92.72,66.15
01749,1996,5.03,198.12,97.39,69.48
01749,1997,4.16,206.36,101.44,72.37
01749,1998,5.48,217.67,106.99,76.34
01749,1999,8.93,237.1,116.54,83.15
01749,2000,20.26,285.14,140.16,100.0
01749,2001,12.95,322.05,158.3,112.95
01749,2002,9.78,353.55,173.79,123.99
01749,2003,5.4,372.64,183.17,130.69
01749,2004,9.04,406.34,199.74,142.5
01749,2005,10.72,449.89,221.14,157.78
01749,2006,-1.46,443.34,217.92,155.48
01749,2007,-1.52,436.6,214.61,153.12
01749,2008,-6.23,409.39,201.24,143.58
01749,2009,-7.04,380.58,187.08,133.47
01749,2010,-2.73,370.21,181.98,129.83
01749,2011,-2.77,359.95,176.93,126.24
01749,2012,-3.29,348.12,171.12,122.09
01749,2013,2.76,357.72,175.84,125.45
01749,2014,7.21,383.51,188.51,134.5
01749,2015,2.06,391.41,192.4,137.27
01749,2016,5.25,411.97,202.5,144.48
01749,2017,7.01,440.84,216.69,154.6
01749,2018,6.2,468.17,230.13,164.19
01749,2019,2.12,478.11,235.01,167.67
01749,2020,3.69,495.74,243.68,173.86
01749,2021,10.38,547.21,268.98,191.91
01749,2022,16.53,637.68,313.45,223.64
01749,2023,8.45,691.54,339.93,242.53
01749,2024,2.08,705.95,347.01,247.58
03448,2003,,100.0,,
03448,2004,21.66,121.66,,
03448,2005,0.5,122.27,,
03448,2006,21.8,148.92,,
03448,2007,6.46,158.54,,
03448,2008,-18.07,129.89,,
03448,2009,3.36,134.26,,
03448,2010,-18.39,109.57,,
03448,2011,10.7,121.29,,
03448,2012,-3.21,117.4,,
03448,2013,-0.83,116.43,,
03448,2014,3.85,120.91,,
03448,2015,-16.83,100.56,,
03448,2016,19.34,120.0,,
03448,2017,-7.38,111.14,,
03448,2018,,,,
03448,2019,,,,
03448,2020,,137.55,,
03448,2021,9.26,150.28,,
03448,2022,,,,
03448,2023,,,,
03448,2024,,,,
03583,2009,,100.0,,
03583,2010,0.27,100.27,,
03583,2011,-7.62,92.62,,
03583,2012,9.47,101.4,,
03583,2013,-9.07,92.2,,
03583,2014,,,,
03583,2015,,93.73,,
03583,2016,,,,
03583,2017,,95.09,,
03583,2018,19.15,113.3,,
03583,2019,17.37,132.98,,
03583,2020,-5.74,125.35,,
03583,2021,19.68,150.02,,
03583,2022,,,,
03583,2023,,,,
03583,2024,,212.13,,
03585,2002,,100.0,,
03585,2003,1.16,101.16,,
03585,2004,9.64,110.91,,
03585,2005,21.23,134.45,,
03585,2006,0.95,135.72,,
03585,2007,12.64,152.88,,
03585,2008,-7.41,141.55,,
03585,2009,-6.11,132.9,,
03585,2010,-3.76,127.89,,
03585,2011,1.48,129.79,,
03585,2012,-7.07,120.62,,
03585,2013,3.67,125.04,,
03585,2014,4.68,130.9,,
03585,2015,3.07,134.91,,
03585,2016,-5.27,127.8,,
03585,2017,0.99,129.07,,
03585,2018,7.76,139.09,,
03585,2019,14.56,159.34,,
03585,2020,1.5,161.72,,
03585,2021,14.2,184.68,,
03585,2022,19.95,221.53,,
03585,2023,,,,
03585,2024,,282.74,,
03903,1985,,100.0,68.12,52.26
03903,1986,18.17,118.17,80.5,61.76
03903,1987,20.34,142.2,96.87,74.32
03903,1988,9.79,156.13,106.36,81.59
03903,1989,-0.69,155.04,105.62,81.03
03903,1990,-5.32,146.79,100.0,76.72
03903,1991,-6.7,136.96,93.3,71.58
03903,1992,-2.8,133.13,90.69,69.57
03903,1993,2.06,135.87,92.56,71.01
03903,1994,-6.99,126.37,86.09,66.04
03903,1995,2.06,128.97,87.86,67.41
03903,1996,5.61,136.2,92.79,71.18
03903,1997,0.07,136.3,92.85,71.23
03903,1998,8.04,147.25,100.31,76.96
03903,1999,15.29,169.76,115.65,88.72
03903,2000,12.71,191.34,130.35,100.0
03903,2001,13.0,216.21,147.29,113.0
03903,2002,8.14,233.82,159.29,122.2
03903,2003,8.69,254.13,173.12,132.82
03903,2004,6.03,269.46,183.56,140.83
03903,2005,12.47,303.05,206.45,158.38
03903,2006,3.83,314.67,214.37,164.46
03903,2007,-1.83,308.92,210.45,161.45
03903,2008,-2.95,299.81,204.24,156.69
03903,2009,-5.05,284.67,193.93,148.78
03903,2010,-4.64,271.46,184.93,141.87
03903,2011,-1.59,267.13,181.98,139.61
03903,2012,-1.11,264.16,179.96,138.06
03903,2013,-0.76,262.16,178.59,137.01
03903,2014,3.87,272.31,185.51,142.32
03903,2015,-1.02,269.52,183.61,140.86
03903,2016,5.68,284.82,194.03,148.85
03903,2017,8.31,308.49,210.16,161.23
03903,2018,4.79,323.27,220.23,168.95
03903,2019,5.07,339.67,231.39,177.52
03903,2020,5.27,357.59,243.6,186.88
03903,2021,11.61,399.1,271.88,208.58
03903,2022,13.28,452.08,307.97,236.27
03903,2023,9.3,494.14,336.62,258.25
03903,2024,10.24,544.73,371.09,284.69
04055,2002,,100.0,,
04055,2003,2.92,102.92,,
04055,2004,17.46,120.89,,
04055,2005,10.01,132.99,,
04055,2006,3.37,137.47,,
04055,2007,4.57,143.74,,
04055,2008,-8.17,132.0,,
04055,2009,-6.99,122.78,,
04055,2010,-0.98,121.57,,
04055,2011,-1.84,119.33,,
04055,2012,-5.98,112.19,,
04055,2013,0.02,112.22,,
04055,2014,1.03,113.38,,
04055,2015,6.46,120.7,,
04055,2016,-8.51,110.42,,
04055,2017,10.88,122.43,,
04055,2018,8.99,133.44,,
04055,2019,3.31,137.86,,
04055,2020,8.45,149.51,,
04055,2021,12.9,168.79,,
04055,2022,14.95,194.02,,
04055,2023,6.35,206.35,,
04055,2024,13.79,234.8,,
05473,2001,,100.0,,
05473,2002,-1.55,98.45,,
05473,2003,6.5,104.85,,
05473,2004,6.15,111.29,,
05473,2005,31.84,146.73,,
05473,2006,-0.61,145.84,,
05473,2007,9.94,160.34,,
05473,2008,0.23,160.7,,
05473,2009,-10.2,144.31,,
05473,2010,-1.04,142.82,,
05473,2011,-2.32,139.51,,
05473,2012,-5.13,132.35,,
05473,2013,3.51,137.0,,
05473,2014,6.62,146.08,,
05473,2015,-8.99,132.95,,
05473,2016,6.51,141.61,,
05473,2017,19.17,168.76,,
05473,2018,,,,
05473,2019,,,,
05473,2020,,169.44,,
05473,2021,6.49,180.44,,
05473,2022,,,,
05473,2023,,,,
05473,2024,,,,
05651,2001,,100.0,,
05651,2002,6.82,106.82,,
05651,2003,9.68,117.16,,
05651,2004,14.89,134.61,,
05651,2005,12.05,150.83,,
05651,2006,15.66,174.45,,
05651,2007,-3.35,168.61,,
05651,2008,1.54,171.21,,
05651,2009,-1.17,169.21,,
05651,2010,3.25,174.71,,
05651,2011,-1.12,172.76,,
05651,2012,-7.26,160.21,,
05651,2013,4.15,166.87,,
05651,2014,-2.72,162.32,,
05651,2015,2.19,165.88,,
05651,2016,3.36,171.46,,
05651,2017,-1.51,168.86,,
05651,2018,9.22,184.43,,
05651,2019,-1.73,181.24,,
05651,2020,5.64,191.45,,
05651,2021,19.35,228.5,,
05651,2022,25.56,286.9,,
05651,2023,,,,
05651,2024,,,,
05680,2001,,100.0,,
05680,2002,5.12,105.12,,
05680,2003,7.6,113.11,,
05680,2004,12.52,127.28,,
05680,2005,17.55,149.62,,
05680,2006,5.14,157.32,,
05680,2007,3.94,163.51,,
05680,2008,5.89,173.14,,
05680,2009,-9.07,157.43,,
05680,2010,-0.4,156.8,,
05680,2011,2.71,161.05,,
05680,2012,-3.17,155.93,,
05680,2013,3.26,161.02,,
05680,2014,0.67,162.1,,
05680,2015,-2.18,158.56,,
05680,2016,-3.59,152.86,,
05680,2017,4.37,159.55,,
05680,2018,5.2,167.85,,
05680,2019,-0.91,166.33,,
05680,2020,3.48,172.11,,
05680,2021,12.43,193.5,,
05680,2022,23.34,238.66,,
05680,2023,-11.33,211.62,,
05680,2024,,,,
06023,1992,,100.0,,94.52
06023,1993,-10.91,89.09,,84.2
06023,1994,-0.28,88.83,,83.96
06023,1995,,,,
06023,1996,,93.52,,88.4
06023,1997,,,,
06023,1998,,95.28,,90.06
06023,1999,2.75,97.9,,92.54
06023,2000,8.07,105.8,,100.0
06023,2001,7.43,113.66,,107.43
06023,2002,2.93,116.99,,110.57
06023,2003,6.83,124.98,,118.13
06023,2004,10.22,137.75,,130.19
06023,2005,16.21,160.08,,151.3
06023,2006,-1.29,158.01,,149.35
06023,2007,8.81,171.93,,162.51
06023,2008,-2.94,166.87,,157.72
06023,2009,-9.66,150.76,,142.49
06023,2010,-1.17,149.0,,140.83
06023,2011,1.58,151.35,,143.05
06023,2012,-6.0,142.28,,134.48
06023,2013,-1.61,139.99,,132.32
06023,2014,-0.44,139.37,,131.73
06023,2015,-2.71,135.6,,128.16
06023,2016,-4.53,129.46,,122.36
06023,2017,16.93,151.37,,143.07
06023,2018,-7.37,140.21,,132.52
06023,2019,-0.57,139.4,,131.76
06023,2020,4.48,145.64,,137.66
06023,2021,8.65,158.24,,149.56
06023,2022,-0.09,158.09,,149.42
06023,2023,28.62,203.34,,192.19
06023,2024,6.38,216.32,,204.46
07753,1979,,100.0,34.54,28.79
07753,1980,25.48,125.48,43.34,36.12
07753,1981,12.45,141.1,48.73,40.62
07753,1982,,,,
07753,1983,,146.75,50.68,42.25
07753,1984,5.88,155.38,53.66,44.73
07753,1985,14.05,177.21,61.2,51.01
07753,1986,23.78,219.34,75.75,63.14
07753,1987,30.23,285.65,98.65,82.23
07753,1988,8.57,310.12,107.1,89.28
07753,1989,-1.73,304.75,105.25,87.73
07753,1990,-4.98,289.56,100.0,83.36
07753,1991,-5.23,274.4,94.77,79.0
07753,1992,-1.4,270.57,93.44,77.89
07753,1993,0.36,271.53,93.77,78.17
07753,1994,-0.44,270.35,93.36,77.83
07753,1995,2.27,276.49,95.49,79.6
07753,1996,2.23,282.65,97.61,81.37
07753,1997,1.72,287.51,99.29,82.77
07753,1998,4.84,301.43,104.1,86.78
07753,1999,3.3,311.4,107.54,89.65
07753,2000,11.55,347.36,119.96,100.0
07753,2001,10.18,382.73,132.18,110.18
07753,2002,14.47,438.1,151.3,126.12
07753,2003,12.35,492.19,169.98,141.69
07753,2004,19.0,585.7,202.27,168.61
07753,2005,16.99,685.19,236.63,197.26
07753,2006,9.98,753.57,260.25,216.94
07753,2007,-0.44,750.27,259.11,215.99
07753,2008,-4.7,715.02,246.93,205.84
07753,2009,-9.9,644.22,222.48,185.46
07753,2010,-5.92,606.09,209.32,174.48
07753,2011,-7.22,562.36,194.21,161.89
07753,2012,-3.56,542.35,187.3,156.13
07753,2013,0.49,545.01,188.22,156.9
07753,2014,5.69,576.01,198.92,165.82
07753,2015,2.21,588.71,203.31,169.48
07753,2016,5.03,618.3,213.53,178.0
07753,2017,3.38,639.22,220.76,184.02
07753,2018,5.53,674.6,232.97,194.21
07753,2019,6.23,716.66,247.5,206.31
07753,2020,4.53,749.11,258.71,215.66
07753,2021,12.2,840.48,290.26,241.96
07753,2022,15.16,967.87,334.26,278.63
07753,2023,12.94,1093.1,377.51,314.69
07753,2024,12.08,1225.12,423.1,352.69
08068,1993,,100.0,,88.27
08068,1994,1.53,101.53,,89.63
08068,1995,-2.06,99.44,,87.78
08068,1996,8.38,107.77,,95.13
08068,1997,-4.93,102.46,,90.45
08068,1998,-0.22,102.24,,90.25
08068,1999,14.55,117.12,,103.38
08068,2000,-3.27,113.28,,100.0
08068,2001,3.26,116.98,,103.26
08068,2002,10.58,129.35,,114.18
08068,2003,10.2,142.55,,125.84
08068,2004,16.33,165.82,,146.38
08068,2005,15.82,192.05,,169.53
08068,2006,12.77,216.57,,191.18
08068,2007,0.52,217.7,,192.17
08068,2008,1.03,219.94,,194.15
08068,2009,-6.34,205.99,,181.83
08068,2010,-6.24,193.13,,170.48
08068,2011,-4.04,185.32,,163.59
08068,2012,-5.69,174.78,,154.28
08068,2013,-0.98,173.06,,152.77
08068,2014,-3.6,166.83,,147.27
08068,2015,3.95,173.41,,153.08
08068,2016,-2.62,168.88,,149.08
08068,2017,-10.61,150.96,,133.26
08068,2018,18.04,178.2,,157.3
08068,2019,-3.55,171.87,,151.72
08068,2020,12.18,192.8,,170.2
08068,2021,17.91,227.33,,200.67
08068,2022,12.18,255.02,,225.12
08068,2023,6.17,270.76,,239.01
08068,2024,30.79,354.14,,312.61
08088,1979,,100.0,41.32,36.48
08088,1980,12.36,112.36,46.43,40.99
08088,1981,6.99,120.22,49.68,43.86
08088,1982,-6.86,111.97,46.27,40.85
08088,1983,19.54,133.85,55.31,48.83
08088,1984,7.28,143.6,59.34,52.38
08088,1985,7.42,154.25,63.74,56.27
08088,1986,8.85,167.9,69.38,61.25
08088,1987,19.41,200.48,82.84,73.13
08088,1988,17.15,234.86,97.05,85.68
08088,1989,6.06,249.09,102.93,90.87
08088,1990,-2.85,242.0,100.0,88.28
08088,1991,-2.64,235.61,97.36,85.95
08088,1992,-0.54,234.33,96.83,85.48
08088,1993,0.87,236.37,97.67,86.22
08088,1994,1.78,240.57,99.41,87.76
08088,1995,-1.93,235.91,97.49,86.06
08088,1996,2.04,240.74,99.48,87.82
08088,1997,2.71,247.27,102.18,90.2
08088,1998,2.1,252.45,104.32,92.09
08088,1999,1.58,256.43,105.97,93.55
08088,2000,6.9,274.13,113.28,100.0
08088,2001,6.53,292.03,120.68,106.53
08088,2002,9.28,319.14,131.88,116.42
08088,2003,7.95,344.5,142.36,125.67
08088,2004,14.87,395.73,163.53,144.36
08088,2005,15.34,456.42,188.6,166.5
08088,2006,8.86,496.84,205.31,181.24
08088,2007,-0.17,496.02,204.97,180.94
08088,2008,-3.21,480.09,198.39,175.13
08088,2009,-8.04,441.5,182.44,161.06
08088,2010,-6.84,411.32,169.97,150.05
08088,2011,-4.31,393.61,162.65,143.59
08088,2012,-5.54,371.8,153.64,135.63
08088,2013,-0.09,371.47,153.5,135.51
08088,2014,4.93,389.79,161.07,142.19
08088,2015,-0.48,387.9,160.29,141.51
08088,2016,1.68,394.42,162.99,143.88
08088,2017,1.58,400.66,165.56,146.16
08088,2018,-0.51,398.63,164.72,145.42
08088,2019,4.18,415.28,171.6,151.49
08088,2020,3.81,431.1,178.14,157.26
08088,2021,10.82,477.77,197.43,174.29
08088,2022,17.12,559.55,231.22,204.12
08088,2023,11.49,623.84,257.79,227.57
08088,2024,6.79,666.18,275.28,243.02
10506,1992,,100.0,,65.48
10506,1993,4.0,104.0,,68.1
10506,1994,3.81,107.97,,70.7
10506,1995,0.64,108.66,,71.15
10506,1996,-8.82,99.08,,64.88
10506,1997,11.1,110.08,,72.08
10506,1998,10.63,121.78,,79.74
10506,1999,-7.88,112.18,,73.45
10506,2000,36.14,152.72,,100.0
10506,2001,3.86,158.62,,103.86
10506,2002,7.97,171.26,,112.14
10506,2003,2.47,175.49,,114.91
10506,2004,19.42,209.58,,137.23
10506,2005,-0.58,208.36,,136.44
10506,2006,16.17,242.06,,158.5
10506,2007,1.93,246.74,,161.57
10506,2008,-9.31,223.78,,146.53
10506,2009,-4.17,214.43,,140.41
10506,2010,-4.64,204.49,,133.9
10506,2011,-3.59,197.14,,129.09
10506,2012,-2.18,192.85,,126.28
10506,2013,2.86,198.36,,129.89
10506,2014,-0.82,196.74,,128.83
10506,2015,1.24,199.17,,130.42
10506,2016,1.35,201.85,,132.17
10506,2017,-4.62,192.53,,126.07
10506,2018,8.49,208.88,,136.77
10506,2019,-2.46,203.73,,133.4
10506,2020,2.3,208.42,,136.47
10506,2021,4.69,218.19,,142.87
10506,2022,5.07,229.26,,150.12
10506,2023,12.39,257.67,,168.72
10506,2024,8.83,280.43,,183.62
14561,1992,,100.0,,81.61
14561,1993,-2.79,97.21,,79.33
14561,1994,4.24,101.33,,82.7
14561,1995,-2.31,98.99,,80.79
14561,1996,9.4,108.3,,88.38
14561,1997,0.57,108.91,,88.88
14561,1998,1.68,110.74,,90.37
14561,1999,3.33,114.42,,93.38
14561,2000,7.09,122.53,,100.0
14561,2001,2.48,125.57,,102.48
14561,2002,1.63,127.62,,104.15
14561,2003,-1.21,126.08,,102.89
14561,2004,10.18,138.91,,113.37
14561,2005,12.38,156.12,,127.41
14561,2006,-11.25,138.55,,113.07
14561,2007,10.55,153.17,,125.0
14561,2008,1.55,155.55,,126.94
14561,2009,0.47,156.27,,127.53
14561,2010,-0.74,155.11,,126.58
14561,2011,-2.35,151.47,,123.61
14561,2012,-1.32,149.47,,121.98
14561,2013,0.27,149.87,,122.31
14561,2014,6.27,159.27,,129.98
14561,2015,3.69,165.14,,134.77
14561,2016,10.24,182.05,,148.57
14561,2017,-9.7,164.39,,134.16
14561,2018,8.24,177.93,,145.21
14561,2019,16.43,207.16,,169.06
14561,2020,-5.68,195.4,,159.47
14561,2021,21.35,237.12,,193.51
14561,2022,5.15,249.32,,203.47
14561,2023,10.07,274.43,,223.96
14561,2024,11.22,305.23,,249.1
15014,2003,,100.0,,
15014,2004,3.57,103.57,,
15014,2005,13.8,117.87,,
15014,2006,-12.6,103.02,,
15014,2007,5.39,108.58,,
15014,2008,1.0,109.67,,
15014,2009,4.63,114.75,,
15014,2010,5.51,121.07,,
15014,2011,-7.57,111.91,,
15014,2012,3.41,115.73,,
15014,2013,-8.14,106.3,,
15014,2014,16.86,124.22,,
15014,2015,-10.91,110.67,,
15014,2016,4.21,115.32,,
15014,2017,-9.68,104.16,,
15014,2018,11.67,116.31,,
15014,2019,,,,
15014,2020,,125.31,,
15014,2021,22.0,152.88,,
15014,2022,8.34,165.64,,
15014,2023,10.74,183.43,,
15014,2024,-8.01,168.73,,
17036,1983,,100.0,70.8,57.3
17036,1984,-2.2,97.8,69.24,56.04
17036,1985,5.47,103.15,73.03,59.11
17036,1986,4.28,107.56,76.15,61.63
17036,1987,9.37,117.63,83.29,67.41
17036,1988,8.96,128.17,90.75,73.45
17036,1989,4.56,134.02,94.89,76.8
17036,1990,5.38,141.24,100.0,80.93
17036,1991,0.6,142.09,100.6,81.42
17036,1992,2.8,146.06,103.42,83.7
17036,1993,2.55,149.78,106.05,85.83
17036,1994,1.35,151.8,107.48,86.99
17036,1995,3.45,157.03,111.18,89.98
17036,1996,1.18,158.88,112.49,91.04
17036,1997,2.82,163.37,115.67,93.61
17036,1998,2.9,168.11,119.02,96.33
17036,1999,1.87,171.25,121.25,98.13
17036,2000,1.9,174.51,123.56,100.0
17036,2001,4.39,182.18,128.99,104.39
17036,2002,2.78,187.24,132.57,107.3
17036,2003,3.89,194.52,137.73,111.47
17036,2004,4.83,203.93,144.39,116.86
17036,2005,10.96,226.28,160.22,129.67
17036,2006,6.06,239.99,169.92,137.53
17036,2007,6.47,255.51,180.91,146.42
17036,2008,-0.84,253.37,179.39,145.19
17036,2009,-1.31,250.04,177.04,143.28
17036,2010,-0.57,248.61,176.03,142.46
17036,2011,-1.73,244.31,172.98,140.0
17036,2012,-2.81,237.45,168.12,136.07
17036,2013,2.38,243.11,172.13,139.31
17036,2014,-1.43,239.64,169.67,137.32
17036,2015,3.62,248.31,175.82,142.29
17036,2016,1.94,253.12,179.22,145.05
17036,2017,0.49,254.36,180.1,145.76
17036,2018,4.3,265.31,187.85,152.03
17036,2019,4.66,277.67,196.6,159.12
17036,2020,4.03,288.86,204.52,165.53
17036,2021,6.39,307.31,217.58,176.1
17036,2022,15.8,355.87,251.97,203.93
17036,2023,11.57,397.06,281.13,227.53
17036,2024,0.87,400.51,283.57,229.5
18702,1979,,100.0,55.72,45.2
18702,1980,-4.6,95.4,53.15,43.12
18702,1981,-8.89,86.92,48.43,39.29
18702,1982,20.5,104.74,58.36,47.34
18702,1983,-13.43,90.67,50.52,40.98
18702,1984,11.1,100.73,56.13,45.53
18702,1985,12.14,112.96,62.94,51.05
18702,1986,9.36,123.54,68.83,55.84
18702,1987,6.86,132.01,73.55,59.66
18702,1988,15.63,152.64,85.04,68.99
18702,1989,10.02,167.92,93.56,75.9
18702,1990,6.88,179.48,100.0,81.12
18702,1991,15.04,206.48,115.04,93.32
18702,1992,-1.73,202.91,113.06,91.71
18702,1993,2.53,208.04,115.91,94.03
18702,1994,0.56,209.19,116.56,94.55
18702,1995,-2.33,204.32,113.84,92.35
18702,1996,6.69,218.0,121.46,98.53
18702,1997,-0.53,216.84,120.82,98.01
18702,1998,6.34,230.59,128.48,104.22
18702,1999,-1.59,226.92,126.43,102.56
18702,2000,-2.5,221.25,123.27,100.0
18702,2001,11.25,246.14,137.14,111.25
18702,2002,0.53,247.43,137.86,111.84
18702,2003,0.81,249.44,138.98,112.74
18702,2004,2.22,254.96,142.06,115.24
18702,2005,6.74,272.14,151.63,123.0
18702,2006,6.54,289.93,161.54,131.04
18702,2007,2.56,297.35,165.67,134.4
18702,2008,2.6,305.07,169.98,137.89
18702,2009,-5.53,288.21,160.58,130.26
18702,2010,1.56,292.71,163.09,132.3
18702,2011,-2.41,285.67,159.17,129.12
18702,2012,-4.68,272.29,151.71,123.07
18702,2013,-1.32,268.7,149.71,121.45
18702,2014,-5.17,254.8,141.97,115.16
18702,2015,-2.34,248.83,138.64,112.46
18702,2016,5.82,263.31,146.71,119.01
18702,2017,1.15,266.34,148.4,120.38
18702,2018,-4.0,255.68,142.46,115.56
18702,2019,9.74,280.59,156.33,126.82
18702,2020,3.95,291.67,162.51,131.83
18702,2021,13.18,330.1,183.92,149.2
18702,2022,26.82,418.63,233.25,189.21
18702,2023,4.65,438.1,244.09,198.01
18702,2024,31.09,574.32,319.99,259.58
19061,1980,,100.0,43.25,40.52
19061,1981,-0.8,99.2,42.91,40.19
19061,1982,13.24,112.33,48.59,45.51
19061,1983,12.35,126.21,54.59,51.13
19061,1984,7.47,135.63,58.66,54.95
19061,1985,7.71,146.09,63.19,59.19
19061,1986,5.88,154.69,66.91,62.67
19061,1987,16.72,180.55,78.09,73.15
19061,1988,17.44,212.04,91.71,85.91
19061,1989,5.06,222.77,96.35,90.26
19061,1990,3.79,231.2,100.0,93.67
19061,1991,1.29,234.19,101.29,94.89
19061,1992,-1.04,231.75,100.24,93.9
19061,1993,0.04,231.84,100.28,93.93
19061,1994,-2.39,226.29,97.88,91.68
19061,1995,0.1,226.52,97.98,91.78
19061,1996,0.57,227.81,98.54,92.3
19061,1997,-0.43,226.85,98.12,91.91
19061,1998,0.85,228.77,98.95,92.69
19061,1999,4.82,239.79,103.71,97.15
19061,2000,2.93,246.81,106.75,100.0
19061,2001,5.55,260.52,112.68,105.55
19061,2002,7.75,280.7,121.41,113.73
19061,2003,6.58,299.18,129.4,121.21
19061,2004,9.61,327.93,141.84,132.86
19061,2005,12.36,368.46,159.37,149.29
19061,2006,9.12,402.06,173.9,162.9
19061,2007,3.47,415.99,179.93,168.55
19061,2008,-2.46,405.76,175.5,164.4
19061,2009,-6.98,377.42,163.25,152.92
19061,2010,-2.42,368.28,159.29,149.21
19061,2011,-6.04,346.02,149.66,140.19
19061,2012,-6.4,323.89,140.09,131.23
19061,2013,-2.26,316.58,136.93,128.27
19061,2014,-1.47,311.93,134.92,126.38
19061,2015,4.7,326.6,141.26,132.32
19061,2016,1.88,332.74,143.92,134.81
19061,2017,4.72,348.44,150.71,141.17
19061,2018,-0.38,347.11,150.14,140.64
19061,2019,10.74,384.4,166.26,155.74
19061,2020,2.52,394.1,170.46,159.67
19061,2021,14.31,450.51,194.86,182.53
19061,2022,14.12,514.13,222.38,208.31
19061,2023,8.58,558.26,241.46,226.18
19061,2024,8.97,608.31,263.11,246.47
19142,1979,,100.0,49.39,43.78
19142,1980,-3.34,96.66,47.74,42.32
19142,1981,14.66,110.84,54.74,48.53
19142,1982,,,,
19142,1983,10.57,122.56,60.53,53.66
19142,1984,-12.66,107.04,52.87,46.87
19142,1985,19.27,127.67,63.05,55.9
19142,1986,13.05,144.34,71.28,63.2
19142,1987,2.69,148.22,73.2,64.89
19142,1988,32.18,195.92,96.76,85.78
19142,1989,-9.06,178.16,87.99,78.01
19142,1990,13.65,202.48,100.0,88.65
19142,1991,-3.67,195.06,96.33,85.4
19142,1992,7.86,210.38,103.9,92.11
19142,1993,9.0,229.31,113.25,100.4
19142,1994,-7.8,211.42,104.41,92.57
19142,1995,-2.29,206.59,102.03,90.45
19142,1996,-3.13,200.11,98.83,87.62
19142,1997,10.29,220.7,108.99,96.63
19142,1998,5.26,232.3,114.73,101.71
19142,1999,-2.16,227.28,112.24,99.51
19142,2000,0.49,228.4,112.8,100.0
19142,2001,9.63,250.4,123.66,109.63
19142,2002,8.4,271.42,134.04,118.84
19142,2003,6.93,290.22,143.33,127.07
19142,2004,12.04,325.16,160.59,142.37
19142,2005,8.99,354.4,175.03,155.17
19142,2006,13.2,401.18,198.13,175.65
19142,2007,4.29,418.38,206.62,183.18
19142,2008,1.97,426.63,210.7,186.79
19142,2009,-10.08,383.63,189.46,167.97
19142,2010,7.52,412.46,203.7,180.59
19142,2011,-11.71,364.16,179.85,159.44
19142,2012,1.27,368.78,182.13,161.46
19142,2013,2.7,378.73,187.04,165.82
19142,2014,-3.92,363.9,179.72,159.33
19142,2015,9.93,400.05,197.57,175.16
19142,2016,4.28,417.16,206.02,182.65
19142,2017,-5.98,392.23,193.71,171.73
19142,2018,14.99,451.04,222.75,197.48
19142,2019,16.02,523.28,258.43,229.11
19142,2020,13.85,595.73,294.21,260.83
19142,2021,10.16,656.25,324.1,287.33
19142,2022,6.99,702.14,346.76,307.42
19142,2023,4.04,730.49,360.77,319.84
19142,2024,20.01,876.68,432.96,383.84
19144,1979,,100.0,39.71,32.54
19144,1980,6.8,106.8,42.42,34.75
19144,1981,6.15,113.37,45.02,36.89
19144,1982,,,,
19144,1983,,135.82,53.94,44.19
19144,1984,8.87,147.86,58.72,48.11
19144,1985,7.7,159.25,63.24,51.81
19144,1986,19.59,190.45,75.63,61.96
19144,1987,8.65,206.92,82.18,67.32
19144,1988,12.26,232.3,92.25,75.58
19144,1989,11.78,259.67,103.12,84.48
19144,1990,-3.03,251.8,100.0,81.92
19144,1991,3.17,259.78,103.17,84.52
19144,1992,0.47,261.01,103.66,84.92
19144,1993,1.04,263.72,104.73,85.8
19144,1994,-0.61,262.11,104.09,85.28
19144,1995,-11.16,232.86,92.48,75.76
19144,1996,12.15,261.15,103.71,84.97
19144,1997,3.89,271.31,107.75,88.27
19144,1998,-2.1,265.62,105.49,86.42
19144,1999,2.5,272.26,108.13,88.58
19144,2000,12.89,307.35,122.06,100.0
19144,2001,9.45,336.39,133.59,109.45
19144,2002,6.63,358.68,142.45,116.7
